Model,Website,Product,Brand,MSRP,URL
Twin Edge OC 3060,Amazon,3060,Zotac,519.99,https://www.amazon.com/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600H-10M/dp/B08W8DGK3X/ref=sr_1_2?dchild=1&keywords=3070&qid=1616314097&refinements=p_89%3AZOTAC&rnid=2528832011&s=electronics&sr=1-2
FTW3 3070,Amazon,3070,EVGA,679.99,https://www.amazon.com/Graphics-Technology-Backplate-DisplayPort-Supernova/dp/B08YP4DYFJ/ref=sr_1_5?crid=1PWGCTIZW5LX1&dchild=1&keywords=3070+graphics+card&qid=1616314207&s=electronics&sprefix=3070%2Celectronics%2C169&sr=1-5
Gaming 3070,Amazon,3070,GigaByte,749.99,https://www.amazon.com/Gigabyte-Graphics-WINDFORCE-Protection-DisplayPort/dp/B08WJJNT2R/ref=sr_1_19?crid=1PWGCTIZW5LX1&dchild=1&keywords=3070+graphics+card&qid=1616314207&s=electronics&sprefix=3070%2Celectronics%2C169&sr=1-19
Twin Edge OC 3070,Amazon,3070,Zotac,699.99,https://www.amazon.com/dp/B08LF1CWT2?smid=ATVPDKIKX0DER&tag=fixitservices-20
Ventus 2X OC 3070,Amazon,3070,MSI,749.99,https://www.amazon.com/MSI-GeForce-Graphics-DisplayPort-Ultimate/dp/B08XZQ7ZFV/ref=sr_1_1?crid=1PWGCTIZW5LX1&dchild=1&keywords=3070+graphics+card&qid=1616314483&refinements=p_89%3AMSI&rnid=2528832011&s=electronics&sprefix=3070%2Celectronics%2C169&sr=1-1
TUF 3060,Amazon,3060,ASUS,519.99,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B08WHJPBFX/ref=sr_1_1?crid=127HUPHXI3E44&dchild=1&keywords=3060+graphics+card&qid=1616316113&s=electronics&sprefix=3060%2Celectronics%2C162&sr=1-1
Gaming 3060,Amazon,3060,GigaByte,479.99,https://www.amazon.com/GIGABYTE-GeForce-Graphics-WINDFORCE-GV-N3060GAMING/dp/B08X4V8N5Q/ref=sr_1_4?crid=127HUPHXI3E44&dchild=1&keywords=3060+graphics+card&qid=1616316196&s=electronics&sprefix=3060%2Celectronics%2C162&sr=1-4
XC 3060,Amazon,3060,EVGA,389.99,https://www.amazon.com/gp/product/B08WM28PVH/ref=ox_sc_act_title_1?smid=ATVPDKIKX0DER&psc=1
FTW 3060Ti,BestBuy,3060Ti,EVGA,499.99,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-ti-ftw3-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6444444.p?skuId=6444444
TUF 3060Ti,BestBuy,3060Ti,ASUS,459.99,https://www.bestbuy.com/site/asus-tuf-rtx3060ti-8gb-gddr6-pci-express-4-0-graphics-card-black/6452573.p?skuId=6452573
Founders 3060Ti,BestBuy,3060Ti,NVIDIA,399.99,https://www.bestbuy.com/site/nvidia-geforce-rtx-3060-ti-8gb-gddr6-pci-express-4-0-graphics-card-steel-and-black/6439402.p?skuId=6439402
XC 3060Ti,BestBuy,3060Ti,EVGA,459.99,https://www.bestbuy.com/site/evga-nvidia-geforce-rtx-3060-ti-xc-gaming-8gb-gddr6-pci-express-4-0-graphics-card/6444445.p?skuId=6444445
